user_id,record_id,player_event_type,ui_event_type,event_current_time_in_nanoseconds,nano_time_milliseconds,event_seek_position_in_milliseconds,event_start_time,event_elapsed_time,song_album_id,song_album_name,song_artist_id,song_artist_name,song_bit_rate,song_date_added,song_disc_number,song_duration,song_file_size,song_file_format,song_id,song_last_played,song_name,song_file_path,song_play_count,song_playList_id,playList_play_order,podcast,song_sample_rate,track,song_release_year,album_artist_name,album_id,album_name,album_artist_name.1,album_date_added,album_release_year,number_of_songs_in_album ,number_of_discs_in_album,album_artists,album_paths,genre_id,genre_name,number_of_songs_for_genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
3H1zVpV0LPZeYOGGxFNNHK68TRf1,2-d507ca29-a5f2-44a8-94ce-8d47df315143,PLAY,,1.59993E+12,1.31296E+15,0,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,0,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",0,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,20-50c30f23-4cbc-47ee-aa73-f619fc93f383,PLAY,,1.60323E+12,2.85606E+12,13613,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",4,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,24-bc417b94-8f4f-4e85-bc64-8cf839dc6b5f,PAUSE,,1.60323E+12,2.87669E+12,5237,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",6,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,26-ccd3f5f2-dd53-4014-88bd-64583ddce5ff,PLAY,,1.60323E+12,2.88012E+12,5945,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",6,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,28-cc78f324-d8ff-4a76-9d4d-719a09230e50,PAUSE,,1.60323E+12,2.88178E+12,7561,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",6,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,3-e462ce8a-8604-45cc-ada7-521a2abe866b,PAUSE,,1.59993E+12,1.31296E+15,4902,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,0,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",0,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,32-dc835faf-1991-4912-adfd-753e966f52f8,PAUSE,,1.60323E+12,2.92472E+12,6409,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",8,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,4-8cf69811-9ef6-4b4f-ba44-56084ab8f820,PAUSE,,1.60323E+12,2.08193E+12,3982,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",2,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,6-dbfd1a4e-df5c-49c5-afcc-c84bfd88359a,PLAY,,1.59993E+12,1.31298E+15,0,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,0,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",0,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
3H1zVpV0LPZeYOGGxFNNHK68TRf1,7-35cae5a6-9ef0-445b-b4b6-5b0d287b7064,PAUSE,,1.60323E+12,2.80501E+12,5076,,,3,Sinatra Sings Rodgers And Hammerstein,3,Sinatra Sings Rodgers And Hammerstein,359 kbps,1596734605,0,179160,7.7 MB,FLAC 16 bits,41,1.60323E+12,"Oh, What A Beautiful Mornin' (With Chorus)","/storage/emulated/0/Download/01 Frank Sinatra - Oh, What A Beautiful Mornin' (With Chorus).flac",3,0,0,FALSE,44.1 kHz,1,1996,,,,,,,,,,,,,,0.575,0.619,0.288,0,0.22,-11.199,0.0366,136.624,0.648,36
